[0.011s][info][gc,heap] Heap region size: 1M
[0.020s][info][gc     ] Using G1
[0.020s][info][gc,heap,coops] Heap address: 0x00000000f0000000, size: 256 MB, Compressed Oops mode: 32-bit
[0.383s][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.383s][info][gc,task      ] GC(0) Using 6 workers of 8 for evacuation
[0.455s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[0.455s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 70.9ms
[0.455s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.6ms
[0.455s][info][gc,phases    ] GC(0)   Other: 0.5ms
[0.459s][info][gc,heap      ] GC(0) Eden regions: 24->0(11)
[0.459s][info][gc,heap      ] GC(0) Survivor regions: 0->3(3)
[0.459s][info][gc,heap      ] GC(0) Old regions: 0->16
[0.459s][info][gc,heap      ] GC(0) Humongous regions: 0->0
[0.459s][info][gc,metaspace ] GC(0) Metaspace: 10379K->10379K(1058816K)
[0.459s][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 24M->18M(256M) 76.249ms
[0.459s][info][gc,cpu       ] GC(0) User=0.47s Sys=0.00s Real=0.08s
[0.464s][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.464s][info][gc,task      ] GC(1) Using 6 workers of 8 for evacuation
[0.509s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[0.509s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 44.9ms
[0.509s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.2ms
[0.509s][info][gc,phases    ] GC(1)   Other: 0.1ms
[0.509s][info][gc,heap      ] GC(1) Eden regions: 11->0(19)
[0.509s][info][gc,heap      ] GC(1) Survivor regions: 3->2(2)
[0.509s][info][gc,heap      ] GC(1) Old regions: 16->29
[0.509s][info][gc,heap      ] GC(1) Humongous regions: 0->0
[0.509s][info][gc,metaspace ] GC(1) Metaspace: 10379K->10379K(1058816K)
[0.509s][info][gc           ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 29M->31M(256M) 45.280ms
[0.509s][info][gc,cpu       ] GC(1) User=0.27s Sys=0.02s Real=0.05s
[0.520s][info][gc,start     ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.520s][info][gc,task      ] GC(2) Using 6 workers of 8 for evacuation
[0.599s][info][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 0.0ms
[0.599s][info][gc,phases    ] GC(2)   Evacuate Collection Set: 78.6ms
[0.599s][info][gc,phases    ] GC(2)   Post Evacuate Collection Set: 0.2ms
[0.599s][info][gc,phases    ] GC(2)   Other: 0.1ms
[0.599s][info][gc,heap      ] GC(2) Eden regions: 19->0(28)
[0.599s][info][gc,heap      ] GC(2) Survivor regions: 2->3(3)
[0.599s][info][gc,heap      ] GC(2) Old regions: 29->48
[0.599s][info][gc,heap      ] GC(2) Humongous regions: 0->0
[0.599s][info][gc,metaspace ] GC(2) Metaspace: 10379K->10379K(1058816K)
[0.599s][info][gc           ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 50M->50M(256M) 79.118ms
[0.599s][info][gc,cpu       ] GC(2) User=0.44s Sys=0.02s Real=0.08s
[0.614s][info][gc,start     ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[0.614s][info][gc,task      ] GC(3) Using 6 workers of 8 for evacuation
[0.731s][info][gc,phases    ] GC(3)   Pre Evacuate Collection Set: 0.0ms
[0.731s][info][gc,phases    ] GC(3)   Evacuate Collection Set: 117.3ms
[0.731s][info][gc,phases    ] GC(3)   Post Evacuate Collection Set: 0.1ms
[0.731s][info][gc,phases    ] GC(3)   Other: 0.1ms
[0.731s][info][gc,heap      ] GC(3) Eden regions: 28->0(31)
[0.731s][info][gc,heap      ] GC(3) Survivor regions: 3->4(4)
[0.731s][info][gc,heap      ] GC(3) Old regions: 48->76
[0.731s][info][gc,heap      ] GC(3) Humongous regions: 0->0
[0.731s][info][gc,metaspace ] GC(3) Metaspace: 10379K->10379K(1058816K)
[0.731s][info][gc           ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 78M->79M(256M) 117.706ms
[0.731s][info][gc,cpu       ] GC(3) User=0.64s Sys=0.02s Real=0.12s
[0.746s][info][gc,start     ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[0.746s][info][gc,task      ] GC(4) Using 6 workers of 8 for evacuation
[0.879s][info][gc,phases    ] GC(4)   Pre Evacuate Collection Set: 0.0ms
[0.879s][info][gc,phases    ] GC(4)   Evacuate Collection Set: 133.0ms
[0.879s][info][gc,phases    ] GC(4)   Post Evacuate Collection Set: 0.2ms
[0.880s][info][gc,phases    ] GC(4)   Other: 0.1ms
[0.880s][info][gc,heap      ] GC(4) Eden regions: 31->0(34)
[0.880s][info][gc,heap      ] GC(4) Survivor regions: 4->5(5)
[0.880s][info][gc,heap      ] GC(4) Old regions: 76->106
[0.880s][info][gc,heap      ] GC(4) Humongous regions: 0->0
[0.880s][info][gc,metaspace ] GC(4) Metaspace: 10379K->10379K(1058816K)
[0.880s][info][gc           ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 110M->111M(256M) 133.540ms
[0.880s][info][gc,cpu       ] GC(4) User=0.83s Sys=0.02s Real=0.13s
[0.896s][info][gc,start     ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[0.896s][info][gc,task      ] GC(5) Using 6 workers of 8 for evacuation
[1.046s][info][gc,phases    ] GC(5)   Pre Evacuate Collection Set: 0.0ms
[1.046s][info][gc,phases    ] GC(5)   Evacuate Collection Set: 149.7ms
[1.046s][info][gc,phases    ] GC(5)   Post Evacuate Collection Set: 0.2ms
[1.046s][info][gc,phases    ] GC(5)   Other: 0.1ms
[1.046s][info][gc,heap      ] GC(5) Eden regions: 34->0(26)
[1.046s][info][gc,heap      ] GC(5) Survivor regions: 5->5(5)
[1.046s][info][gc,heap      ] GC(5) Old regions: 106->141
[1.046s][info][gc,heap      ] GC(5) Humongous regions: 0->0
[1.046s][info][gc,metaspace ] GC(5) Metaspace: 10379K->10379K(1058816K)
[1.046s][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 145M->146M(256M) 150.164ms
[1.046s][info][gc,cpu       ] GC(5) User=0.92s Sys=0.02s Real=0.15s
[1.058s][info][gc,start     ] GC(6) Pause Young (Concurrent Start) (G1 Evacuation Pause)
[1.058s][info][gc,task      ] GC(6) Using 6 workers of 8 for evacuation
[1.180s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[1.180s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 121.2ms
[1.180s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.1ms
[1.180s][info][gc,phases    ] GC(6)   Other: 0.2ms
[1.180s][info][gc,heap      ] GC(6) Eden regions: 26->0(18)
[1.180s][info][gc,heap      ] GC(6) Survivor regions: 5->4(4)
[1.180s][info][gc,heap      ] GC(6) Old regions: 141->169
[1.180s][info][gc,heap      ] GC(6) Humongous regions: 0->0
[1.180s][info][gc,metaspace ] GC(6) Metaspace: 10379K->10379K(1058816K)
[1.180s][info][gc           ] GC(6) Pause Young (Concurrent Start) (G1 Evacuation Pause) 172M->172M(256M) 121.644ms
[1.180s][info][gc,cpu       ] GC(6) User=0.73s Sys=0.02s Real=0.12s
[1.180s][info][gc           ] GC(7) Concurrent Cycle
[1.180s][info][gc,marking   ] GC(7) Concurrent Clear Claimed Marks
[1.180s][info][gc,marking   ] GC(7) Concurrent Clear Claimed Marks 0.021ms
[1.180s][info][gc,marking   ] GC(7) Concurrent Scan Root Regions
[1.182s][info][gc,marking   ] GC(7) Concurrent Scan Root Regions 1.797ms
[1.182s][info][gc,marking   ] GC(7) Concurrent Mark (1.182s)
[1.182s][info][gc,marking   ] GC(7) Concurrent Mark From Roots
[1.182s][info][gc,task      ] GC(7) Using 2 workers of 2 for marking
[1.189s][info][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[1.189s][info][gc,task      ] GC(8) Using 6 workers of 8 for evacuation
[1.277s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[1.277s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 87.5ms
[1.277s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.2ms
[1.277s][info][gc,phases    ] GC(8)   Other: 0.2ms
[1.277s][info][gc,heap      ] GC(8) Eden regions: 18->0(12)
[1.277s][info][gc,heap      ] GC(8) Survivor regions: 4->3(3)
[1.277s][info][gc,heap      ] GC(8) Old regions: 169->189
[1.277s][info][gc,heap      ] GC(8) Humongous regions: 0->0
[1.277s][info][gc,metaspace ] GC(8) Metaspace: 10379K->10379K(1058816K)
[1.277s][info][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 190M->191M(256M) 88.162ms
[1.277s][info][gc,cpu       ] GC(8) User=0.44s Sys=0.03s Real=0.09s
[1.285s][info][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[1.285s][info][gc,task      ] GC(9) Using 6 workers of 8 for evacuation
[1.344s][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.0ms
[1.344s][info][gc,phases    ] GC(9)   Evacuate Collection Set: 58.9ms
[1.344s][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.1ms
[1.344s][info][gc,phases    ] GC(9)   Other: 0.2ms
[1.344s][info][gc,heap      ] GC(9) Eden regions: 12->0(10)
[1.344s][info][gc,heap      ] GC(9) Survivor regions: 3->2(2)
[1.344s][info][gc,heap      ] GC(9) Old regions: 189->203
[1.344s][info][gc,heap      ] GC(9) Humongous regions: 0->0
[1.344s][info][gc,metaspace ] GC(9) Metaspace: 10379K->10379K(1058816K)
[1.344s][info][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 203M->205M(256M) 59.563ms
[1.344s][info][gc,cpu       ] GC(9) User=0.38s Sys=0.00s Real=0.06s
[1.350s][info][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[1.351s][info][gc,task      ] GC(10) Using 6 workers of 8 for evacuation
[1.397s][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.0ms
[1.397s][info][gc,phases    ] GC(10)   Evacuate Collection Set: 46.2ms
[1.397s][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.2ms
[1.397s][info][gc,phases    ] GC(10)   Other: 0.2ms
[1.397s][info][gc,heap      ] GC(10) Eden regions: 10->0(10)
[1.397s][info][gc,heap      ] GC(10) Survivor regions: 2->2(2)
[1.397s][info][gc,heap      ] GC(10) Old regions: 203->214
[1.397s][info][gc,heap      ] GC(10) Humongous regions: 0->0
[1.397s][info][gc,metaspace ] GC(10) Metaspace: 10379K->10379K(1058816K)
[1.397s][info][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 215M->215M(256M) 46.852ms
[1.397s][info][gc,cpu       ] GC(10) User=0.25s Sys=0.00s Real=0.05s
[1.405s][info][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[1.405s][info][gc,task      ] GC(11) Using 6 workers of 8 for evacuation
[1.453s][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[1.454s][info][gc,phases    ] GC(11)   Evacuate Collection Set: 48.3ms
[1.454s][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.1ms
[1.454s][info][gc,phases    ] GC(11)   Other: 0.1ms
[1.454s][info][gc,heap      ] GC(11) Eden regions: 10->0(10)
