[0.014s][info][gc,heap] Heap region size: 1M
[0.034s][info][gc     ] Using G1
[0.034s][info][gc,heap,coops] Heap address: 0x00000000e0000000, size: 512 MB, Compressed Oops mode: 32-bit
[0.416s][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.417s][info][gc,task      ] GC(0) Using 8 workers of 8 for evacuation
[0.498s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[0.498s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 80.5ms
[0.498s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.5ms
[0.498s][info][gc,phases    ] GC(0)   Other: 0.6ms
[0.502s][info][gc,heap      ] GC(0) Eden regions: 25->0(21)
[0.502s][info][gc,heap      ] GC(0) Survivor regions: 0->4(4)
[0.502s][info][gc,heap      ] GC(0) Old regions: 0->16
[0.502s][info][gc,heap      ] GC(0) Humongous regions: 0->0
[0.502s][info][gc,metaspace ] GC(0) Metaspace: 10380K->10380K(1058816K)
[0.502s][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 25M->19M(512M) 86.110ms
[0.502s][info][gc,cpu       ] GC(0) User=0.52s Sys=0.00s Real=0.09s
[0.520s][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.520s][info][gc,task      ] GC(1) Using 8 workers of 8 for evacuation
[0.615s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[0.615s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 94.3ms
[0.615s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.5ms
[0.615s][info][gc,phases    ] GC(1)   Other: 0.2ms
[0.615s][info][gc,heap      ] GC(1) Eden regions: 21->0(21)
[0.615s][info][gc,heap      ] GC(1) Survivor regions: 4->4(4)
[0.615s][info][gc,heap      ] GC(1) Old regions: 16->38
[0.615s][info][gc,heap      ] GC(1) Humongous regions: 0->0
[0.615s][info][gc,metaspace ] GC(1) Metaspace: 10380K->10380K(1058816K)
[0.615s][info][gc           ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 40M->41M(512M) 95.203ms
[0.615s][info][gc,cpu       ] GC(1) User=0.59s Sys=0.05s Real=0.10s
[0.626s][info][gc,start     ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.626s][info][gc,task      ] GC(2) Using 8 workers of 8 for evacuation
[0.728s][info][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 0.0ms
[0.728s][info][gc,phases    ] GC(2)   Evacuate Collection Set: 102.2ms
[0.728s][info][gc,phases    ] GC(2)   Post Evacuate Collection Set: 0.4ms
[0.728s][info][gc,phases    ] GC(2)   Other: 0.2ms
[0.728s][info][gc,heap      ] GC(2) Eden regions: 21->0(26)
[0.729s][info][gc,heap      ] GC(2) Survivor regions: 4->4(4)
[0.729s][info][gc,heap      ] GC(2) Old regions: 38->60
[0.729s][info][gc,heap      ] GC(2) Humongous regions: 0->0
[0.729s][info][gc,metaspace ] GC(2) Metaspace: 10380K->10380K(1058816K)
[0.729s][info][gc           ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 62M->64M(512M) 103.117ms
[0.729s][info][gc,cpu       ] GC(2) User=0.83s Sys=0.05s Real=0.10s
[0.742s][info][gc,start     ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[0.742s][info][gc,task      ] GC(3) Using 8 workers of 8 for evacuation
[0.872s][info][gc,phases    ] GC(3)   Pre Evacuate Collection Set: 0.0ms
[0.872s][info][gc,phases    ] GC(3)   Evacuate Collection Set: 129.4ms
[0.872s][info][gc,phases    ] GC(3)   Post Evacuate Collection Set: 0.4ms
[0.872s][info][gc,phases    ] GC(3)   Other: 0.2ms
[0.872s][info][gc,heap      ] GC(3) Eden regions: 26->0(29)
[0.872s][info][gc,heap      ] GC(3) Survivor regions: 4->4(4)
[0.872s][info][gc,heap      ] GC(3) Old regions: 60->87
