[0.010s][info][gc,heap] Heap region size: 1M
[0.025s][info][gc     ] Using G1
[0.025s][info][gc,heap,coops] Heap address: 0x00000000e0000000, size: 512 MB, Compressed Oops mode: 32-bit
[0.412s][info][gc,start     ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.412s][info][gc,task      ] GC(0) Using 8 workers of 8 for evacuation
[0.492s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[0.492s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 79.0ms
[0.492s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.5ms
[0.492s][info][gc,phases    ] GC(0)   Other: 0.5ms
[0.496s][info][gc,heap      ] GC(0) Eden regions: 25->0(21)
[0.496s][info][gc,heap      ] GC(0) Survivor regions: 0->4(4)
[0.496s][info][gc,heap      ] GC(0) Old regions: 0->16
[0.496s][info][gc,heap      ] GC(0) Humongous regions: 0->0
[0.496s][info][gc,metaspace ] GC(0) Metaspace: 10375K->10375K(1058816K)
[0.496s][info][gc           ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 25M->19M(512M) 84.646ms
[0.496s][info][gc,cpu       ] GC(0) User=0.50s Sys=0.03s Real=0.08s
[0.502s][info][gc,start     ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.502s][info][gc,task      ] GC(1) Using 8 workers of 8 for evacuation
[0.598s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[0.598s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 94.8ms
[0.598s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.6ms
[0.598s][info][gc,phases    ] GC(1)   Other: 0.2ms
[0.598s][info][gc,heap      ] GC(1) Eden regions: 21->0(21)
[0.598s][info][gc,heap      ] GC(1) Survivor regions: 4->4(4)
[0.598s][info][gc,heap      ] GC(1) Old regions: 16->37
[0.598s][info][gc,heap      ] GC(1) Humongous regions: 0->0
[0.598s][info][gc,metaspace ] GC(1) Metaspace: 10376K->10376K(1058816K)
[0.598s][info][gc           ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 40M->41M(512M) 95.890ms
[0.598s][info][gc,cpu       ] GC(1) User=0.70s Sys=0.03s Real=0.10s
[0.610s][info][gc,start     ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.610s][info][gc,task      ] GC(2) Using 8 workers of 8 for evacuation
[0.716s][info][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 0.0ms
[0.716s][info][gc,phases    ] GC(2)   Evacuate Collection Set: 105.6ms
[0.716s][info][gc,phases    ] GC(2)   Post Evacuate Collection Set: 0.3ms
[0.717s][info][gc,phases    ] GC(2)   Other: 0.2ms
[0.717s][info][gc,heap      ] GC(2) Eden regions: 21->0(25)
[0.717s][info][gc,heap      ] GC(2) Survivor regions: 4->4(4)
[0.717s][info][gc,heap      ] GC(2) Old regions: 37->59
[0.717s][info][gc,heap      ] GC(2) Humongous regions: 0->0
[0.717s][info][gc,metaspace ] GC(2) Metaspace: 10376K->10376K(1058816K)
[0.717s][info][gc           ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 62M->62M(512M) 106.546ms
[0.717s][info][gc,cpu       ] GC(2) User=0.81s Sys=0.00s Real=0.11s
[0.730s][info][gc,start     ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[0.731s][info][gc,task      ] GC(3) Using 8 workers of 8 for evacuation
[0.863s][info][gc,phases    ] GC(3)   Pre Evacuate Collection Set: 0.0ms
[0.863s][info][gc,phases    ] GC(3)   Evacuate Collection Set: 131.6ms
[0.863s][info][gc,phases    ] GC(3)   Post Evacuate Collection Set: 0.3ms
[0.863s][info][gc,phases    ] GC(3)   Other: 0.2ms
[0.863s][info][gc,heap      ] GC(3) Eden regions: 25->0(30)
[0.863s][info][gc,heap      ] GC(3) Survivor regions: 4->4(4)
[0.863s][info][gc,heap      ] GC(3) Old regions: 59->86
[0.863s][info][gc,heap      ] GC(3) Humongous regions: 0->0
[0.863s][info][gc,metaspace ] GC(3) Metaspace: 10376K->10376K(1058816K)
[0.863s][info][gc           ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 87M->90M(512M) 132.440ms
[0.863s][info][gc,cpu       ] GC(3) User=0.97s Sys=0.03s Real=0.13s
[0.879s][info][gc,start     ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[0.879s][info][gc,task      ] GC(4) Using 8 workers of 8 for evacuation
[1.032s][info][gc,phases    ] GC(4)   Pre Evacuate Collection Set: 0.0ms
[1.033s][info][gc,phases    ] GC(4)   Evacuate Collection Set: 152.8ms
[1.033s][info][gc,phases    ] GC(4)   Post Evacuate Collection Set: 0.4ms
[1.033s][info][gc,phases    ] GC(4)   Other: 0.3ms
[1.033s][info][gc,heap      ] GC(4) Eden regions: 30->0(31)
[1.033s][info][gc,heap      ] GC(4) Survivor regions: 4->5(5)
[1.033s][info][gc,heap      ] GC(4) Old regions: 86->116
[1.033s][info][gc,heap      ] GC(4) Humongous regions: 0->0
[1.033s][info][gc,metaspace ] GC(4) Metaspace: 10376K->10376K(1058816K)
[1.033s][info][gc           ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 120M->120M(512M) 153.883ms
[1.033s][info][gc,cpu       ] GC(4) User=1.19s Sys=0.00s Real=0.15s
[1.050s][info][gc,start     ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[1.050s][info][gc,task      ] GC(5) Using 8 workers of 8 for evacuation
[1.213s][info][gc,phases    ] GC(5)   Pre Evacuate Collection Set: 0.0ms
[1.213s][info][gc,phases    ] GC(5)   Evacuate Collection Set: 162.4ms
[1.213s][info][gc,phases    ] GC(5)   Post Evacuate Collection Set: 0.5ms
[1.213s][info][gc,phases    ] GC(5)   Other: 0.2ms
[1.213s][info][gc,heap      ] GC(5) Eden regions: 31->0(33)
[1.213s][info][gc,heap      ] GC(5) Survivor regions: 5->5(5)
[1.213s][info][gc,heap      ] GC(5) Old regions: 116->147
[1.213s][info][gc,heap      ] GC(5) Humongous regions: 0->0
[1.213s][info][gc,metaspace ] GC(5) Metaspace: 10376K->10376K(1058816K)
[1.213s][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 151M->152M(512M) 163.289ms
[1.213s][info][gc,cpu       ] GC(5) User=1.30s Sys=0.03s Real=0.16s
[1.230s][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[1.230s][info][gc,task      ] GC(6) Using 8 workers of 8 for evacuation
[1.400s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[1.400s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 168.9ms
[1.400s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.3ms
[1.400s][info][gc,phases    ] GC(6)   Other: 0.2ms
[1.400s][info][gc,heap      ] GC(6) Eden regions: 33->0(34)
[1.400s][info][gc,heap      ] GC(6) Survivor regions: 5->5(5)
[1.400s][info][gc,heap      ] GC(6) Old regions: 147->181
[1.400s][info][gc,heap      ] GC(6) Humongous regions: 0->0
[1.400s][info][gc,metaspace ] GC(6) Metaspace: 10376K->10376K(1058816K)
[1.400s][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 185M->185M(512M) 169.822ms
[1.400s][info][gc,cpu       ] GC(6) User=1.23s Sys=0.06s Real=0.17s
[1.416s][info][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[1.416s][info][gc,task      ] GC(7) Using 8 workers of 8 for evacuation
[1.593s][info][gc,phases    ] GC(7)   Pre Evacuate Collection Set: 0.0ms
[1.593s][info][gc,phases    ] GC(7)   Evacuate Collection Set: 176.6ms
[1.593s][info][gc,phases    ] GC(7)   Post Evacuate Collection Set: 0.3ms
[1.593s][info][gc,phases    ] GC(7)   Other: 0.2ms
[1.593s][info][gc,heap      ] GC(7) Eden regions: 34->0(36)
[1.593s][info][gc,heap      ] GC(7) Survivor regions: 5->5(5)
[1.593s][info][gc,heap      ] GC(7) Old regions: 181->216
[1.593s][info][gc,heap      ] GC(7) Humongous regions: 0->0
[1.593s][info][gc,metaspace ] GC(7) Metaspace: 10376K->10376K(1058816K)
[1.593s][info][gc           ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 219M->220M(512M) 177.295ms
[1.593s][info][gc,cpu       ] GC(7) User=1.34s Sys=0.00s Real=0.18s
[65.709s][info][gc,start     ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[65.709s][info][gc,task      ] GC(8) Using 8 workers of 8 for evacuation
[65.866s][info][gc,phases    ] GC(8)   Pre Evacuate Collection Set: 0.0ms
[65.866s][info][gc,phases    ] GC(8)   Evacuate Collection Set: 156.2ms
[65.866s][info][gc,phases    ] GC(8)   Post Evacuate Collection Set: 0.5ms
[65.866s][info][gc,phases    ] GC(8)   Other: 0.2ms
[65.866s][info][gc,heap      ] GC(8) Eden regions: 36->0(39)
[65.866s][info][gc,heap      ] GC(8) Survivor regions: 5->6(6)
[65.866s][info][gc,heap      ] GC(8) Old regions: 216->249
[65.866s][info][gc,heap      ] GC(8) Humongous regions: 0->0
[65.866s][info][gc,metaspace ] GC(8) Metaspace: 13471K->13471K(1062912K)
[65.866s][info][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 256M->254M(512M) 157.318ms
[65.866s][info][gc,cpu       ] GC(8) User=1.00s Sys=0.02s Real=0.16s
